Semaine épidémiologique,Date SE,année_SE,district,region,date envoi,Prompt District,Compl District,Pop district,Suspicion d'arbovirose,Autre évènement inhabituel nécessitant une alerte,Cas suspect de cholera,Décès maternel,Décès néonatal,Diarrhées aigues chez moins 5ans,Diarrhées aigues chez plus 5ans,Diarrhées aigues,Diarrhée sanglante,Toxi Infection Alimentaire collective (TIAC),Episode d'Intoxication par consommation d'animaux marins (ICAM),Grippe aviaire,Nombre de cas de fièvre (T°37.5C),Paludisme confirmé,Nombre de TDR effectué,Fièvre hémorragique aiguë
,,,,,,,,,,,,,,,,,,,,,,,,
1,12/30/19,2020,Ambalavao,Haute Matsiatra,1/7/20,1,1,318490,0,0,0,0,0,13,6,19,8,3,0,0,280,111,271,0
,,,,,,,,,,,,,,,,,,,,,,,,
2,1/6/20,2020,Ambalavao,Haute Matsiatra,1/14/20,1,1,318490,0,0,0,0,0,35,21,56,18,0,0,0,342,159,328,0
,,,,,,,,,,,,,,,,,,,,,,,,
3,1/13/20,2020,Ambalavao,Haute Matsiatra,1/21/20,1,1,318490,0,0,0,0,0,28,20,48,4,0,0,0,430,180,442,0
,,,,,,,,,,,,,,,,,,,,,,,,
4,1/20/20,2020,Ambalavao,Haute Matsiatra,1/28/20,1,1,318490,0,0,0,0,0,34,21,55,10,0,0,0,428,197,440,0
,,,,,,,,,,,,,,,,,,,,,,,,
5,1/27/20,2020, Ambalavao,Haute Matsiatra,2/4/20,1,1,318490,0,0,0,0,0,31,8,39,15,3,0,0,568,205,559,0
,,,,,,,,,,,,,,,,,,,,,,,,
6,2/3/20,2020,Ambalavao,Haute Matsiatra,2/11/20,1,1,318490,0,0,0,0,0,31,17,48,13,0,0,0,582,294,550,0
,,,,,,,,,,,,,,,,,,,,,,,,
7,2/10/20,2020,Ambalavao,Haute Matsiatra,2/18/20,1,1,318490,0,0,0,0,0,35,9,44,18,0,0,0,545,312,535,0
,,,,,,,,,,,,,,,,,,,,,,,,
8,2/17/20,2020,Ambalavao,Haute Matsiatra,2/25/20,1,1,318490,0,0,0,0,0,16,12,28,12,0,0,0,486,261,479,0
,,,,,,,,,,,,,,,,,,,,,,,,
9,2/24/20,2020,Ambalavao,Haute Matsiatra,3/3/20,1,1,318490,0,0,0,0,0,25,13,38,7,1,0,0,399,189,398,0
,,,,,,,,,,,,,,,,,,,,,,,,
10,3/2/20,2020,Ambalavao,Haute Matsiatra,3/10/20,1,1,318490,0,0,0,0,0,22,17,39,7,0,0,0,450,237,409,0
,,,,,,,,,,,,,,,,,,,,,,,,
11,3/9/20,2020,Ambalavao,Haute Matsiatra,3/17/20,1,1,318490,0,0,0,0,0,17,15,32,12,0,0,0,663,301,628,0
,,,,,,,,,,,,,,,,,,,,,,,,
12,3/16/20,2020,Ambalavao,Haute Matsiatra,3/24/20,1,1,318490,0,0,0,0,0,27,17,44,14,0,0,0,716,352,681,0
,,,,,,,,,,,,,,,,,,,,,,,,
13,3/23/20,2020,Ambalavao,Haute Matsiatra,3/31/20,1,1,318490,0,0,0,0,0,14,8,22,12,4,0,0,618,307,581,0
,,,,,,,,,,,,,,,,,,,,,,,,
14,3/30/20,2020,Ambalavao,Haute Matsiatra,4/7/20,1,1,318490,0,0,0,0,0,12,8,20,6,0,0,0,634,267,556,0
,,,,,,,,,,,,,,,,,,,,,,,,
15,4/6/20,2020,Ambalavao,Haute Matsiatra,4/14/20,1,1,318490,0,0,0,0,0,21,8,29,3,0,0,0,678,387,622,0
,,,,,,,,,,,,,,,,,,,,,,,,
16,4/13/20,2020,Ambalavao,Haute Matsiatra,4/21/20,1,1,318490,0,0,0,0,0,16,8,24,10,0,0,0,788,517,737,0
,,,,,,,,,,,,,,,,,,,,,,,,
17,4/20/20,2020,Ambalavao,Haute Matsiatra,4/28/20,1,1,318490,0,0,0,0,0,13,12,25,12,0,0,0,591,316,514,0
,,,,,,,,,,,,,,,,,,,,,,,,
18,4/27/20,2020,Ambalavao,Haute Matsiatra,5/5/20,1,1,318490,0,0,0,0,0,170,9,26,14,0,0,0,646,365,582,0
,,,,,,,,,,,,,,,,,,,,,,,,
19,5/4/20,2020,Ambalavao,Haute Matsiatra,5/12/20,1,1,318490,0,0,0,0,0,35,16,51,18,0,0,0,845,434,778,0
,,,,,,,,,,,,,,,,,,,,,,,,
20,5/11/20,2020,Ambalavao,Haute Matsiatra,5/19/20,1,1,318490,0,0,0,0,0,34,16,50,11,0,0,0,764,450,750,0
,,,,,,,,,,,,,,,,,,,,,,,,
21,5/18/20,2020,Ambalavao,Haute Matsiatra,5/26/20,1,1,318490,0,0,0,0,0,47,11,58,13,0,0,0,761,423,749,0
,,,,,,,,,,,,,,,,,,,,,,,,
22,5/25/20,2020, Ambalavao,Haute Matsiatra,6/2/20,1,1,318490,0,0,0,0,0,58,17,75,13,0,0,0,635,330,632,0
,,,,,,,,,,,,,,,,,,,,,,,,
23,6/1/20,2020,Ambalavao,Haute Matsiatra,6/9/20,1,1,318490,0,0,0,0,0,72,16,88,10,0,0,0,432,209,423,0
,,,,,,,,,,,,,,,,,,,,,,,,
24,6/8/20,2020,Ambalavao,Haute Matsiatra,6/16/20,1,1,318490,0,0,0,0,0,60,19,79,11,0,0,0,373,163,338,0
,,,,,,,,,,,,,,,,,,,,,,,,
25,6/15/20,2020,Ambalavao,Haute Matsiatra,6/23/20,1,1,318490,0,0,0,0,0,27,13,40,9,0,0,0,317,120,299,0
,,,,,,,,,,,,,,,,,,,,,,,,
26,6/22/20,2020,Ambalavao,Haute Matsiatra,6/30/20,1,1,318490,0,0,0,0,0,12,6,18,3,0,0,0,182,58,181,0
,,,,,,,,,,,,,,,,,,,,,,,,
27,6/29/20,2020,Ambalavao,Haute Matsiatra,7/7/20,1,1,318490,0,0,0,0,0,32,11,43,7,0,0,0,189,70,183,0
,,,,,,,,,,,,,,,,,,,,,,,,
28,7/6/20,2020,Ambalavao,Haute Matsiatra,7/14/20,1,1,318490,0,0,0,0,0,30,9,39,6,0,0,0,159,54,140,0
,,,,,,,,,,,,,,,,,,,,,,,,
29,7/13/20,2020,Ambalavao,Haute Matsiatra,7/21/20,1,1,318490,0,0,0,0,0,19,9,28,8,0,0,0,160,41,119,0
,,,,,,,,,,,,,,,,,,,,,,,,
30,7/20/20,2020,Ambalavao,Haute Matsiatra,7/28/20,1,1,318490,0,0,0,0,0,13,13,26,7,0,0,0,132,25,101,0
,,,,,,,,,,,,,,,,,,,,,,,,
31,7/27/20,2020,Ambalavao,Haute Matsiatra,8/4/20,1,1,318490,0,0,0,0,0,23,13,36,11,0,0,0,107,24,91,0
,,,,,,,,,,,,,,,,,,,,,,,,
32,8/3/20,2020,Ambalavao,Haute Matsiatra,8/11/20,1,1,318490,0,0,0,0,0,15,7,22,8,0,0,0,88,15,67,0
,,,,,,,,,,,,,,,,,,,,,,,,
33,8/10/20,2020,Ambalavao,Haute Matsiatra,8/18/20,1,1,318490,0,0,0,0,0,13,12,25,5,0,0,0,79,6,61,0
,,,,,,,,,,,,,,,,,,,,,,,,
34,8/17/20,2020,Ambalavao,Haute Matsiatra,8/25/20,1,1,318490,0,0,0,0,0,16,7,23,4,0,0,0,63,12,161,0
,,,,,,,,,,,,,,,,,,,,,,,,
35,8/24/20,2020,Ambalavao,Haute Matsiatra,9/1/20,1,1,318490,0,0,0,0,0,19,6,25,12,0,0,0,86,8,84,0
,,,,,,,,,,,,,,,,,,,,,,,,
36,8/31/20,2020,Ambalavao,Haute Matsiatra,9/8/20,1,1,318490,0,0,0,0,0,27,10,37,6,0,0,0,77,19,73,0
,,,,,,,,,,,,,,,,,,,,,,,,
37,9/7/20,2020,Ambalavao,Haute Matsiatra,9/15/20,1,1,318490,0,0,0,0,0,28,9,37,6,0,0,0,87,8,77,0
,,,,,,,,,,,,,,,,,,,,,,,,
38,9/14/20,2020,Ambalavao,Haute Matsiatra,9/22/20,1,1,318490,0,0,0,2,0,21,13,34,13,0,0,0,77,14,76,0
,,,,,,,,,,,,,,,,,,,,,,,,
39,9/21/20,2020,Ambalavao,Haute Matsiatra,9/29/20,1,1,318490,0,0,0,0,0,23,15,38,5,0,0,0,134,21,125,0
,,,,,,,,,,,,,,,,,,,,,,,,
40,9/28/20,2020,Ambalavao,Haute Matsiatra,10/6/20,1,1,318490,0,0,0,1,0,38,9,47,2,0,0,0,131,15,122,0
,,,,,,,,,,,,,,,,,,,,,,,,
41,5/10/20,2020,Ambalavao,Haute Matsiatra,10/13/20,1,1,318490,0,0,0,0,0,57,13,70,10,0,0,0,125,19,119,0
,,,,,,,,,,,,,,,,,,,,,,,,
42,10/12/20,2020,Ambalavao,Haute Matsiatra,10/20/20,1,1,318490,0,0,0,0,0,40,19,59,9,0,0,0,129,24,124,0
,,,,,,,,,,,,,,,,,,,,,,,,
43,10/19/20,2020,Ambalavao,Haute Matsiatra,10/27/20,1,1,318490,0,0,0,0,0,28,9,37,2,0,0,0,148,36,141,0
,,,,,,,,,,,,,,,,,,,,,,,,
44,10/26/20,2020,Ambalavao,Haute Matsiatra,11/3/20,1,1,318490,0,0,0,0,0,34,11,45,3,0,0,0,180,38,169,0
,,,,,,,,,,,,,,,,,,,,,,,,
45,11/2/20,2020,Ambalavao,Haute Matsiatra,11/10/20,1,1,318490,0,0,0,0,0,49,18,67,17,0,0,0,197,58,199,0
,,,,,,,,,,,,,,,,,,,,,,,,
46,11/9/20,2020, Ambalavao,Haute Matsiatra,11/17/20,1,1,318490,0,0,0,0,0,73,23,96,10,0,0,0,169,40,166,0
,,,,,,,,,,,,,,,,,,,,,,,,
47,11/16/20,2020,Ambalavao,Haute Matsiatra,11/24/20,1,1,318490,0,0,0,0,0,36,9,45,5,0,0,0,173,51,173,0
,,,,,,,,,,,,,,,,,,,,,,,,
48,11/23/20,2020,Ambalavao,Haute Matsiatra,12/1/20,1,1,318490,0,0,0,0,0,52,13,65,4,0,0,0,237,59,194,0
,,,,,,,,,,,,,,,,,,,,,,,,
49,11/30/20,2020,Ambalavao,Haute Matsiatra,12/8/20,1,1,318490,0,0,0,0,0,40,14,54,7,0,0,0,184,51,183,0
,,,,,,,,,,,,,,,,,,,,,,,,
50,12/7/20,2020,Ambalavao,Haute Matsiatra,12/15/20,1,1,318490,0,0,0,0,0,35,14,49,7,0,0,0,177,67,175,0
,,,,,,,,,,,,,,,,,,,,,,,,
51,12/14/20,2020,Ambalavao,Haute Matsiatra,12/22/20,1,1,318490,0,0,0,0,0,38,13,51,3,0,0,0,217,71,217,0
,,,,,,,,,,,,,,,,,,,,,,,,
52,12/21/20,2020,Ambalavao,Haute Matsiatra,12/29/20,1,1,318490,0,0,0,0,0,21,8,29,3,0,0,0,174,100,171,0
,,,,,,,,,,,,,,,,,,,,,,,,
53,12/28/20,2020,Ambalavao,Haute Matsiatra,1/5/21,1,1,318490,0,0,0,0,0,0,4,4,0,0,0,0,110,86,110,0
,,,,,,,,,,,,,,,,,,,,,,,,
1,12/30/19,2020,Ambanja,Diana,1/7/20,1,1,255181,0,0,0,0,0,62,53,115,7,0,0,,499,85,467,0
,,,,,,,,,,,,,,,,,,,,,,,,
2,1/6/20,2020,Ambanja,Diana,1/14/20,1,1,255181,0,0,0,0,0,69,47,116,16,0,0,,618,74,493,0
,,,,,,,,,,,,,,,,,,,,,,,,
3,1/13/20,2020,Ambanja,Diana,1/21/20,1,1,255181,0,0,0,0,0,74,50,124,13,0,0,,579,82,557,0
,,,,,,,,,,,,,,,,,,,,,,,,
4,1/20/20,2020,Ambanja,Diana,1/28/20,1,1,255181,0,0,0,0,0,35,32,67,9,0,0,,448,74,382,0
,,,,,,,,,,,,,,,,,,,,,,,,
5,1/27/20,2020, Ambanja,Diana,2/4/20,1,1,255181,0,0,0,0,0,60,51,111,9,0,0,,613,83,551,0
,,,,,,,,,,,,,,,,,,,,,,,,
6,2/3/20,2020,Ambanja,Diana,2/11/20,1,1,255181,0,0,0,0,0,55,46,101,6,0,0,,589,98,538,0
,,,,,,,,,,,,,,,,,,,,,,,,
7,2/10/20,2020,Ambanja,Diana,2/18/20,1,1,255181,0,0,0,0,0,49,45,94,9,0,0,,535,110,477,0
,,,,,,,,,,,,,,,,,,,,,,,,
8,2/17/20,2020,Ambanja,Diana,2/25/20,1,1,255181,0,0,0,0,0,60,57,117,8,0,0,,600,109,550,0
,,,,,,,,,,,,,,,,,,,,,,,,
9,2/24/20,2020,Ambanja,Diana,3/3/20,1,1,255181,0,0,0,0,0,65,48,113,12,0,0,,672,114,614,0
,,,,,,,,,,,,,,,,,,,,,,,,
10,3/2/20,2020,Ambanja,Diana,3/10/20,1,1,255181,0,0,0,0,0,60,49,109,14,0,0,,522,91,491,0
,,,,,,,,,,,,,,,,,,,,,,,,
11,3/9/20,2020,Ambanja,Diana,3/17/20,1,1,255181,0,0,0,0,0,51,45,96,5,0,0,,559,83,492,0
,,,,,,,,,,,,,,,,,,,,,,,,
12,3/16/20,2020,Ambanja,Diana,3/24/20,1,1,255181,0,0,0,0,0,45,40,85,7,0,0,,584,93,507,0
,,,,,,,,,,,,,,,,,,,,,,,,
13,3/23/20,2020,Ambanja,Diana,3/31/20,1,1,255181,0,0,0,0,0,41,40,81,11,0,0,,739,110,668,0
,,,,,,,,,,,,,,,,,,,,,,,,
14,3/30/20,2020,Ambanja,Diana,4/7/20,1,1,255181,0,0,0,0,0,64,31,95,8,0,0,,620,108,558,0
,,,,,,,,,,,,,,,,,,,,,,,,
15,4/6/20,2020,Ambanja,Diana,4/14/20,1,1,255181,0,0,0,0,0,29,37,66,8,0,0,,566,117,504,0
,,,,,,,,,,,,,,,,,,,,,,,,
16,4/13/20,2020,Ambanja,Diana,4/21/20,1,1,255181,0,0,0,0,0,42,33,75,7,0,0,,494,122,441,0
,,,,,,,,,,,,,,,,,,,,,,,,
17,4/20/20,2020,Ambanja,Diana,4/28/20,1,1,255181,0,0,0,0,0,33,22,55,8,0,0,,527,107,478,0
,,,,,,,,,,,,,,,,,,,,,,,,
18,4/27/20,2020,Ambanja,Diana,5/5/20,1,1,255181,0,0,0,0,0,29,29,58,6,0,0,,537,115,482,0
,,,,,,,,,,,,,,,,,,,,,,,,
19,5/4/20,2020,Ambanja,Diana,5/12/20,1,1,255181,0,0,0,0,0,26,33,59,5,0,0,,668,174,625,0
,,,,,,,,,,,,,,,,,,,,,,,,
20,5/11/20,2020,Ambanja,Diana,5/19/20,1,1,255181,0,0,0,0,0,43,44,87,12,0,0,,706,159,675,0
,,,,,,,,,,,,,,,,,,,,,,,,
21,5/18/20,2020,Ambanja,Diana,5/26/20,1,1,255181,0,0,0,0,0,44,38,82,10,0,0,,575,135,500,0
,,,,,,,,,,,,,,,,,,,,,,,,
22,5/25/20,2020,Ambanja,Diana,6/2/20,1,1,255181,0,0,0,0,0,57,48,105,6,0,0,,792,199,758,0
,,,,,,,,,,,,,,,,,,,,,,,,
23,6/1/20,2020,Ambanja,Diana,6/9/20,1,1,255181,0,0,0,0,0,36,31,67,6,0,0,,652,187,559,0
,,,,,,,,,,,,,,,,,,,,,,,,
24,6/8/20,2020,Ambanja,Diana,6/16/20,1,1,255181,0,0,0,0,0,68,33,101,6,0,0,,607,175,555,0
,,,,,,,,,,,,,,,,,,,,,,,,
25,6/15/20,2020,Ambanja,Diana,6/23/20,1,1,255181,0,0,0,0,0,65,32,97,6,0,0,,684,176,606,0
,,,,,,,,,,,,,,,,,,,,,,,,
26,6/22/20,2020,Ambanja,Diana,6/30/20,1,1,255181,0,0,0,0,0,96,46,142,1,0,0,,583,147,538,0
,,,,,,,,,,,,,,,,,,,,,,,,
27,6/29/20,2020,Ambanja,Diana,7/7/20,1,1,255181,0,0,0,0,0,128,52,180,8,0,0,,810,178,720,0
,,,,,,,,,,,,,,,,,,,,,,,,
28,7/6/20,2020,Ambanja,Diana,7/14/20,1,1,255181,0,0,0,0,0,92,45,137,9,0,0,,721,170,699,0
,,,,,,,,,,,,,,,,,,,,,,,,
29,7/13/20,2020,Ambanja,Diana,7/21/20,1,1,255181,0,0,0,0,0,109,33,142,3,0,0,,576,114,522,0
,,,,,,,,,,,,,,,,,,,,,,,,
30,7/20/20,2020,Ambanja,Diana,7/28/20,1,1,255181,0,0,0,0,0,71,49,120,3,0,0,,565,127,516,0
,,,,,,,,,,,,,,,,,,,,,,,,
31,7/27/20,2020,Ambanja,Diana,8/4/20,1,1,255181,0,0,0,0,0,61,44,105,3,0,0,,548,133,503,0
,,,,,,,,,,,,,,,,,,,,,,,,
32,8/3/20,2020,Ambanja,Diana,8/11/20,1,1,255181,0,0,0,0,0,42,43,85,5,0,0,,380,84,337,0
,,,,,,,,,,,,,,,,,,,,,,,,
33,8/10/20,2020,Ambanja,Diana,8/18/20,1,1,255181,0,0,0,0,0,40,23,63,3,0,0,,394,89,341,0
,,,,,,,,,,,,,,,,,,,,,,,,
34,8/17/20,2020,Ambanja,Diana,8/25/20,1,1,255181,0,0,0,0,0,59,34,93,1,0,0,,389,98,348,0
,,,,,,,,,,,,,,,,,,,,,,,,
35,8/24/20,2020,Ambanja,Diana,9/1/20,1,1,255181,0,0,0,0,0,40,25,65,8,0,0,,369,65,325,0
,,,,,,,,,,,,,,,,,,,,,,,,
36,8/31/20,2020,Ambanja,Diana,9/8/20,1,1,255181,0,0,0,0,0,36,27,63,2,0,0,,417,102,389,0
,,,,,,,,,,,,,,,,,,,,,,,,
37,9/7/20,2020,Ambanja,Diana,9/15/20,1,1,255181,0,0,0,0,0,37,36,73,7,0,0,,344,83,316,0
,,,,,,,,,,,,,,,,,,,,,,,,
38,9/14/20,2020,Ambanja,Diana,9/22/20,1,1,255181,0,0,0,0,0,28,30,58,1,0,0,,336,69,315,0
,,,,,,,,,,,,,,,,,,,,,,,,
39,9/21/20,2020,Ambanja,Diana,9/29/20,1,1,255181,0,0,0,0,0,35,22,57,6,0,0,,390,63,376,0
,,,,,,,,,,,,,,,,,,,,,,,,
40,9/28/20,2020,Ambanja,Diana,10/6/20,1,1,255181,0,0,0,0,0,34,32,66,6,0,0,,467,98,443,0
,,,,,,,,,,,,,,,,,,,,,,,,
41,10/5/20,2020,Ambanja,Diana,10/14/20,0,1,255181,0,0,0,0,0,24,24,48,6,0,0,,332,80,311,0
,,,,,,,,,,,,,,,,,,,,,,,,
42,10/12/20,2020,Ambanja,Diana,10/20/20,1,1,255181,0,0,0,0,0,44,15,59,6,0,0,,420,78,410,0
,,,,,,,,,,,,,,,,,,,,,,,,
43,10/19/20,2020,Ambanja,Diana,10/27/20,1,1,255181,0,0,0,0,0,46,30,76,5,0,0,,492,103,471,0
,,,,,,,,,,,,,,,,,,,,,,,,
44,10/26/20,2020,Ambanja,Diana,11/3/20,1,1,255181,0,0,0,0,0,57,37,94,5,0,0,,501,119,462,0
,,,,,,,,,,,,,,,,,,,,,,,,
45,11/2/20,2020,Ambanja,Diana,11/10/20,1,1,255181,0,0,0,0,0,44,23,67,5,0,0,,432,95,416,0
,,,,,,,,,,,,,,,,,,,,,,,,
46,11/9/20,2020,Ambanja,Diana,11/17/20,1,1,255181,0,0,0,0,0,52,34,86,8,0,0,,444,99,411,0
,,,,,,,,,,,,,,,,,,,,,,,,
47,11/16/20,2020,Ambanja,Diana,11/24/20,1,1,255181,0,0,0,0,0,44,46,90,5,0,0,,460,133,434,0
,,,,,,,,,,,,,,,,,,,,,,,,
48,11/23/20,2020,Ambanja,Diana,12/1/20,1,1,255181,0,0,0,0,0,75,57,132,8,0,0,,631,136,620,0
,,,,,,,,,,,,,,,,,,,,,,,,
49,11/30/20,2020,Ambanja,Diana,12/8/20,1,1,255181,0,0,0,0,0,60,45,105,3,0,0,,624,91,610,0
,,,,,,,,,,,,,,,,,,,,,,,,
50,12/7/20,2020, Ambanja,Diana,12/15/20,1,1,255181,0,0,0,0,0,80,43,123,5,0,0,,528,105,512,0
,,,,,,,,,,,,,,,,,,,,,,,,
51,12/14/20,2020,Ambanja,Diana,12/22/20,1,1,255181,0,0,0,0,0,74,38,112,11,0,0,,538,120,552,0
,,,,,,,,,,,,,,,,,,,,,,,,
52,12/21/20,2020,Ambanja,Diana,12/29/20,1,1,255181,0,0,0,0,0,67,49,116,9,0,0,,590,137,564,0
,,,,,,,,,,,,,,,,,,,,,,,,
53,12/28/20,2020,Ambanja,Diana,1/5/21,1,1,255181,0,0,0,0,0,75,45,120,9,0,0,,473,102,469,0
,,,,,,,,,,,,,,,,,,,,,,,,
1,12/30/19,2020,Ambato Boeni,Boeny,1/7/20,1,1,289101,0,0,0,0,0,124,40,164,10,0,0,,391,117,394,0
,,,,,,,,,,,,,,,,,,,,,,,,
2,1/6/20,2020,Ambato Boeni,Boeny,1/14/20,1,1,289101,0,0,0,0,0,179,37,216,16,0,0,,725,150,684,0
,,,,,,,,,,,,,,,,,,,,,,,,
3,1/13/20,2020,Ambato Boeni,Boeny,1/21/20,1,1,289101,0,0,0,0,0,175,63,238,13,0,0,,817,218,804,0
,,,,,,,,,,,,,,,,,,,,,,,,
4,1/20/20,2020,Ambato Boeni,Boeny,1/28/20,1,1,289101,0,0,0,0,0,105,23,128,10,0,0,,477,156,475,0
,,,,,,,,,,,,,,,,,,,,,,,,
5,1/27/20,2020,Ambato Boeni,Boeny,2/4/20,1,1,289101,0,0,0,0,0,104,41,145,19,0,0,,708,270,702,0
,,,,,,,,,,,,,,,,,,,,,,,,
6,2/3/20,2020,Ambato Boeni,Boeny,2/11/20,1,1,289101,0,0,0,0,0,85,36,121,18,0,0,,976,410,934,0
,,,,,,,,,,,,,,,,,,,,,,,,
7,2/10/20,2020,Ambato Boeni,Boeny,2/18/20,1,1,289101,0,0,0,0,0,58,25,83,14,0,0,,783,371,763,0
,,,,,,,,,,,,,,,,,,,,,,,,
8,2/17/20,2020,Ambato Boeni,Boeny,2/25/20,1,1,289101,0,0,0,0,0,62,13,75,20,0,0,,602,237,576,0
,,,,,,,,,,,,,,,,,,,,,,,,
9,2/24/20,2020,Ambato Boeni,Boeny,3/3/20,1,1,289101,0,0,0,0,0,40,25,65,8,0,0,,575,193,563,0
,,,,,,,,,,,,,,,,,,,,,,,,
10,3/2/20,2020,Ambato Boeni,Boeny,3/10/20,1,1,289101,0,0,0,0,0,35,19,54,4,0,0,,662,206,645,0
,,,,,,,,,,,,,,,,,,,,,,,,
11,3/9/20,2020,Ambato Boeni,Boeny,3/17/20,1,1,289101,0,0,0,0,0,51,17,68,5,0,0,,730,301,720,0
,,,,,,,,,,,,,,,,,,,,,,,,
12,3/16/20,2020,Ambato Boeni, Boeny,3/24/20,1,1,289101,0,0,0,0,0,24,43,67,8,0,0,,917,390,899,0
,,,,,,,,,,,,,,,,,,,,,,,,
13,3/23/20,2020,Ambato Boeni,BOENY,3/31/20,1,1,289101,0,0,0,0,0,44,6,50,12,0,0,,1012,467,976,0
,,,,,,,,,,,,,,,,,,,,,,,,
14,3/30/20,2020,Ambato Boeni,BOENY,4/7/20,1,1,289101,0,0,0,0,0,47,9,56,16,0,0,,1053,472,1036,0
,,,,,,,,,,,,,,,,,,,,,,,,
15,4/6/20,2020,Ambato Boeni, Boeny,4/14/20,1,1,289101,0,0,0,0,0,330,10,43,9,0,0,,898,420,885,0
,,,,,,,,,,,,,,,,,,,,,,,,
16,4/13/20,2020,Ambato Boeni,boeny,4/21/20,1,1,289101,0,0,0,0,0,31,10,41,13,0,0,,880,411,871,0
,,,,,,,,,,,,,,,,,,,,,,,,
17,4/20/20,2020,Ambato Boeni,boeny,4/28/20,1,1,289101,0,0,0,0,0,46,16,62,10,0,0,,848,371,830,0
,,,,,,,,,,,,,,,,,,,,,,,,
18,4/27/20,2020,Ambato Boeni,Boeny,5/5/20,1,1,289101,0,0,0,0,0,60,15,75,5,0,0,,773,396,773,0
,,,,,,,,,,,,,,,,,,,,,,,,
19,5/4/20,2020,Ambato Boeni,Boeny,5/12/20,1,1,289101,0,0,0,0,0,67,16,83,17,0,0,,821,401,815,0
,,,,,,,,,,,,,,,,,,,,,,,,
20,5/11/20,2020,Ambato Boeni,Boeny,5/19/20,1,1,289101,0,0,0,0,0,98,29,127,16,0,0,,902,416,881,0
,,,,,,,,,,,,,,,,,,,,,,,,
21,5/18/20,2020,Ambato Boeni,Boeny,5/26/20,1,1,289101,0,0,0,0,0,89,31,120,21,0,0,,981,430,979,0
,,,,,,,,,,,,,,,,,,,,,,,,
22,5/25/20,2020,Ambato Boeni,Boeny,6/2/20,1,1,289101,0,0,0,0,0,97,38,135,19,0,0,,1010,472,998,0
,,,,,,,,,,,,,,,,,,,,,,,,
23,6/1/20,2020,Ambato Boeni,Boeny,6/9/20,1,1,289101,0,0,0,0,0,91,18,109,18,0,0,,788,395,787,0
,,,,,,,,,,,,,,,,,,,,,,,,
24,6/8/20,2020,Ambato Boeni,Boeny,6/16/20,1,1,289101,0,0,0,0,0,81,20,101,16,0,0,,785,368,788,0
,,,,,,,,,,,,,,,,,,,,,,,,
25,6/15/20,2020,Ambato Boeni,Boeny,6/23/20,1,1,289101,0,0,0,0,0,76,28,104,11,0,0,,760,358,760,0
,,,,,,,,,,,,,,,,,,,,,,,,
26,6/22/20,2020,Ambato Boeni,Boeny,6/30/20,1,1,289101,0,0,0,0,0,74,23,97,12,0,0,,729,357,729,0
,,,,,,,,,,,,,,,,,,,,,,,,
27,6/29/20,2020,Ambato Boeni,Boeny,7/7/20,1,1,289101,0,0,0,0,0,71,17,88,5,0,0,,861,383,866,0
,,,,,,,,,,,,,,,,,,,,,,,,
28,7/6/20,2020,Ambato Boeni,Boeny,7/14/20,1,1,289101,0,0,0,0,0,73,15,88,10,0,0,,809,395,806,0
,,,,,,,,,,,,,,,,,,,,,,,,
29,7/13/20,2020,Ambato Boeni,Boeny,7/21/20,1,1,289101,0,3,0,0,0,54,21,75,11,0,0,,796,373,780,0
,,,,,,,,,,,,,,,,,,,,,,,,
30,7/20/20,2020,Ambato Boeni,Boeny,7/28/20,1,1,289101,0,1,0,0,0,34,26,60,11,0,0,,648,295,643,0
,,,,,,,,,,,,,,,,,,,,,,,,
31,7/27/20,2020,Ambato Boeni,Boeny,8/4/20,1,1,289101,0,1,0,0,0,49,15,64,6,0,0,,621,286,615,0
,,,,,,,,,,,,,,,,,,,,,,,,
32,8/3/20,2020,Ambato Boeni,Boeny,8/12/20,0,1,289101,0,0,0,0,0,45,13,58,8,0,0,,667,313,663,0
,,,,,,,,,,,,,,,,,,,,,,,,
33,8/10/20,2020,Ambato Boeni,Boeny,8/18/20,1,1,289101,0,4,0,0,0,29,11,40,7,0,0,,501,193,501,0
,,,,,,,,,,,,,,,,,,,,,,,,
34,8/17/20,2020,Ambato Boeni,Boeny,8/25/20,1,1,289101,0,1,0,0,0,53,12,65,9,0,0,,540,228,540,0
,,,,,,,,,,,,,,,,,,,,,,,,
35,8/24/20,2020,Ambato Boeni,Boeny,9/1/20,1,1,289101,0,1,0,0,0,54,12,66,10,0,0,,557,245,552,0
,,,,,,,,,,,,,,,,,,,,,,,,
36,8/31/20,2020,Ambato Boeni,Boeny,9/8/20,1,1,289101,0,0,0,0,0,57,12,69,21,0,0,,566,211,537,0
,,,,,,,,,,,,,,,,,,,,,,,,
37,9/7/20,2020,Ambato Boeni,Boeny,9/16/20,0,1,289101,0,0,0,0,0,43,7,50,9,0,0,,477,177,477,0
,,,,,,,,,,,,,,,,,,,,,,,,
38,9/14/20,2020,Ambato Boeni,Boeny,9/22/20,1,1,289101,0,0,0,0,0,57,27,84,15,0,0,,454,164,454,0
,,,,,,,,,,,,,,,,,,,,,,,,
39,9/21/20,2020,Ambato Boeni,Boeny,9/29/20,1,1,289101,0,0,0,0,0,72,17,89,12,0,0,,491,194,491,0
,,,,,,,,,,,,,,,,,,,,,,,,
